name,postCodePrefix
दिल्ली,'11'
हरियाणा,'12–13'
पंजाब,'14–15'
चंडीगढ़,'16'
हिमाचल प्रदेश,'17'
जम्मू कश्मीर,'18–19'
उत्तर प्रदेश,'20–28'
उत्तराखंड,'20–28'
राजस्थान,'30–34'
दमन और दीव,'396210'
दादरा और नगर हवेली,'396'
गुजरात,'36–39'
गोवा,'403'
महाराष्ट्र,'40–44'
मध्य प्रदेश,'45–48'
छत्तीसगढ़,'49'
तेलंगाना,'50'
आंध्र प्रदेश,'51–53'
कर्नाटक,'56–59'
पुडुचेरी,'605'
तमिल नाडू,'60–66'
लक्षद्वीप,'682'
केरल,'67–69'
सिक्किम,'737'
अंडमान व नोकोबार द्वीप समूह,'744'
पश्चिम बंगाल,'70–74'
ओडिशा,'75–77'
असम,'78'
अरुणाचल प्रदेश,'790–792'
मेघालय,'793–794'
मणिपुर,'795'
मिजोरम,'796'
नागालैंड,'797–798'
त्रिपुरा,'799'
बिहार,'80–85'
झारखण्ड,'80–86'
